,Zone,Lower_left,Upper_right,Center,Super_center,Super_center_nr
24,25,"[10.71517, 59.95514]","[10.723904, 59.959677]","[10.719537, 59.957408]","[10.723904, 59.95514]",7.0
25,26,"[10.793777, 59.950603]","[10.802511, 59.95514]","[10.798144, 59.952872]","[10.793777, 59.95514]",4.0
26,27,"[10.785043, 59.950603]","[10.793777, 59.95514]","[10.78941, 59.952872]","[10.793777, 59.95514]",4.0
27,28,"[10.776308, 59.950603]","[10.785043, 59.95514]","[10.780676, 59.952872]","[10.780676, 59.952872]",53.0
28,29,"[10.767574, 59.950603]","[10.776309, 59.95514]","[10.771941, 59.952872]","[10.771941, 59.952872]",54.0
29,30,"[10.75884, 59.950603]","[10.767574, 59.95514]","[10.763207, 59.952872]","[10.75884, 59.95514]",5.0
30,31,"[10.750106, 59.950603]","[10.75884, 59.95514]","[10.754473, 59.952872]","[10.75884, 59.95514]",5.0
31,32,"[10.741372, 59.950603]","[10.750106, 59.95514]","[10.745739, 59.952872]","[10.741372, 59.95514]",6.0
32,33,"[10.732638, 59.950603]","[10.741372, 59.95514]","[10.737005, 59.952872]","[10.741372, 59.95514]",6.0
33,34,"[10.723904, 59.950603]","[10.732638, 59.95514]","[10.728271, 59.952872]","[10.723904, 59.95514]",7.0
34,35,"[10.71517, 59.950603]","[10.723904, 59.95514]","[10.719537, 59.952872]","[10.723904, 59.95514]",7.0
35,36,"[10.802511, 59.946066]","[10.811245, 59.950603]","[10.806878, 59.948335]","[10.802511, 59.946066]",8.0
36,37,"[10.793777, 59.946066]","[10.802511, 59.950603]","[10.798144, 59.948335]","[10.802511, 59.946066]",8.0
37,38,"[10.785043, 59.946066]","[10.793777, 59.950603]","[10.78941, 59.948335]","[10.785043, 59.946066]",9.0
38,39,"[10.776308, 59.946066]","[10.785043, 59.950603]","[10.780676, 59.948335]","[10.785043, 59.946066]",9.0
39,40,"[10.767574, 59.946066]","[10.776309, 59.950603]","[10.771941, 59.948335]","[10.767574, 59.946066]",10.0
40,41,"[10.75884, 59.946066]","[10.767574, 59.950603]","[10.763207, 59.948335]","[10.767574, 59.946066]",10.0
41,42,"[10.750106, 59.946066]","[10.75884, 59.950603]","[10.754473, 59.948335]","[10.750106, 59.946066]",11.0
42,43,"[10.741372, 59.946066]","[10.750106, 59.950603]","[10.745739, 59.948335]","[10.750106, 59.946066]",11.0
43,44,"[10.732638, 59.946066]","[10.741372, 59.950603]","[10.737005, 59.948335]","[10.732638, 59.946066]",12.0
44,45,"[10.723904, 59.946066]","[10.732638, 59.950603]","[10.728271, 59.948335]","[10.732638, 59.946066]",12.0
45,46,"[10.706436, 59.946066]","[10.71517, 59.950603]","[10.710803, 59.948335]","[10.710803, 59.948335]",55.0
46,47,"[10.802511, 59.94153]","[10.811245, 59.946066]","[10.806878, 59.943798]","[10.802511, 59.946066]",8.0
47,48,"[10.793777, 59.94153]","[10.802511, 59.946066]","[10.798144, 59.943798]","[10.802511, 59.946066]",8.0
48,49,"[10.785043, 59.94153]","[10.793777, 59.946066]","[10.78941, 59.943798]","[10.785043, 59.946066]",9.0
49,50,"[10.776308, 59.94153]","[10.785043, 59.946066]","[10.780676, 59.943798]","[10.785043, 59.946066]",9.0
50,51,"[10.767574, 59.94153]","[10.776309, 59.946066]","[10.771941, 59.943798]","[10.767574, 59.946066]",10.0
51,52,"[10.75884, 59.94153]","[10.767574, 59.946066]","[10.763207, 59.943798]","[10.767574, 59.946066]",10.0
52,53,"[10.750106, 59.94153]","[10.75884, 59.946066]","[10.754473, 59.943798]","[10.750106, 59.946066]",11.0
53,54,"[10.741372, 59.94153]","[10.750106, 59.946066]","[10.745739, 59.943798]","[10.750106, 59.946066]",11.0
54,55,"[10.732638, 59.94153]","[10.741372, 59.946066]","[10.737005, 59.943798]","[10.732638, 59.946066]",12.0
55,56,"[10.723904, 59.94153]","[10.732638, 59.946066]","[10.728271, 59.943798]","[10.732638, 59.946066]",12.0
56,57,"[10.71517, 59.94153]","[10.723904, 59.946066]","[10.719537, 59.943798]","[10.71517, 59.94153]",13.0
57,58,"[10.706436, 59.94153]","[10.71517, 59.946066]","[10.710803, 59.943798]","[10.71517, 59.94153]",13.0
58,59,"[10.697702, 59.94153]","[10.706436, 59.946066]","[10.702069, 59.943798]","[10.702069, 59.943798]",56.0
59,60,"[10.889851, 59.936993]","[10.898585, 59.94153]","[10.894218, 59.939261]","[10.894218, 59.939261]",57.0
60,61,"[10.828713, 59.936993]","[10.837447, 59.94153]","[10.83308, 59.939261]","[10.828713, 59.936993]",14.0
61,62,"[10.819979, 59.936993]","[10.828713, 59.94153]","[10.824346, 59.939261]","[10.828713, 59.936993]",14.0
62,63,"[10.811245, 59.936993]","[10.819979, 59.94153]","[10.815612, 59.939261]","[10.811245, 59.936993]",15.0
63,64,"[10.802511, 59.936993]","[10.811245, 59.94153]","[10.806878, 59.939261]","[10.811245, 59.936993]",15.0
64,65,"[10.793777, 59.936993]","[10.802511, 59.94153]","[10.798144, 59.939261]","[10.793777, 59.936993]",16.0
65,66,"[10.785043, 59.936993]","[10.793777, 59.94153]","[10.78941, 59.939261]","[10.793777, 59.936993]",16.0
66,67,"[10.776308, 59.936993]","[10.785043, 59.94153]","[10.780676, 59.939261]","[10.780676, 59.939261]",58.0
67,68,"[10.767574, 59.936993]","[10.776309, 59.94153]","[10.771941, 59.939261]","[10.767574, 59.936993]",17.0
