,Zone,Lower Left,Upper Right,Center
243,244,"[10.819978625, 59.86894130769231]","[10.82871265, 59.87347807692308]","[10.824345637499999, 59.871209692307694]"
244,245,"[10.8112446, 59.86894130769231]","[10.819978625000001, 59.87347807692308]","[10.8156116125, 59.871209692307694]"
245,246,"[10.802510575, 59.86894130769231]","[10.8112446, 59.87347807692308]","[10.8068775875, 59.871209692307694]"
246,247,"[10.785042525, 59.86894130769231]","[10.79377655, 59.87347807692308]","[10.7894095375, 59.871209692307694]"
247,248,"[10.819978625, 59.864404538461535]","[10.82871265, 59.8689413076923]","[10.824345637499999, 59.86667292307692]"
248,249,"[10.8112446, 59.864404538461535]","[10.819978625000001, 59.8689413076923]","[10.8156116125, 59.86667292307692]"
249,250,"[10.802510575, 59.864404538461535]","[10.8112446, 59.8689413076923]","[10.8068775875, 59.86667292307692]"
250,251,"[10.79377655, 59.864404538461535]","[10.802510575000001, 59.8689413076923]","[10.798143562500002, 59.86667292307692]"
251,252,"[10.8112446, 59.85986776923077]","[10.819978625000001, 59.864404538461535]","[10.8156116125, 59.86213615384615]"
252,253,"[10.802510575, 59.85986776923077]","[10.8112446, 59.864404538461535]","[10.8068775875, 59.86213615384615]"
253,254,"[10.79377655, 59.85986776923077]","[10.802510575000001, 59.864404538461535]","[10.798143562500002, 59.86213615384615]"
