,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
96,33,Morning,"{""0"": 315, ""1"": 47, ""2"": 3}","{""0"": 353, ""1"": 11, ""2"": 1}","[0.863, 0.129, 0.008]","[0.967, 0.03, 0.003]"
97,33,Day,"{""0"": 316, ""1"": 42, ""2"": 6, ""3"": 1}","{""0"": 305, ""1"": 54, ""2"": 6}","[0.866, 0.115, 0.016, 0.003]","[0.836, 0.148, 0.016]"
98,33,Evening,"{""0"": 265, ""1"": 75, ""2"": 23, ""3"": 2}","{""0"": 240, ""1"": 105, ""2"": 13, ""3"": 5, ""4"": 2}","[0.726, 0.205, 0.063, 0.005]","[0.658, 0.288, 0.036, 0.014, 0.005]"
99,34,Morning,"{""0"": 304, ""1"": 55, ""2"": 6}","{""0"": 332, ""1"": 27, ""2"": 6}","[0.833, 0.151, 0.016]","[0.91, 0.074, 0.016]"
100,34,Day,"{""0"": 302, ""1"": 54, ""2"": 9}","{""0"": 294, ""1"": 62, ""2"": 8, ""3"": 1}","[0.827, 0.148, 0.025]","[0.805, 0.17, 0.022, 0.003]"
101,34,Evening,"{""0"": 273, ""1"": 72, ""2"": 18, ""3"": 2}","{""0"": 265, ""1"": 79, ""2"": 19, ""3"": 2}","[0.748, 0.197, 0.049, 0.005]","[0.726, 0.216, 0.052, 0.005]"
102,35,Morning,"{""0"": 301, ""1"": 54, ""2"": 8, ""3"": 2}","{""0"": 339, ""1"": 24, ""2"": 2}","[0.825, 0.148, 0.022, 0.005]","[0.929, 0.066, 0.005]"
103,35,Day,"{""0"": 333, ""1"": 30, ""2"": 2}","{""0"": 327, ""1"": 33, ""2"": 5}","[0.912, 0.082, 0.005]","[0.896, 0.09, 0.014]"
104,35,Evening,"{""0"": 313, ""1"": 42, ""2"": 9, ""3"": 1}","{""0"": 273, ""1"": 66, ""2"": 22, ""3"": 4}","[0.858, 0.115, 0.025, 0.003]","[0.748, 0.181, 0.06, 0.011]"
105,36,Morning,"{""0"": 206, ""1"": 87, ""2"": 50, ""3"": 20, ""4"": 2}","{""0"": 334, ""1"": 31}","[0.564, 0.238, 0.137, 0.055, 0.005]","[0.915, 0.085]"
106,36,Day,"{""0"": 302, ""1"": 47, ""2"": 13, ""3"": 3}","{""0"": 280, ""1"": 60, ""2"": 22, ""3"": 1, ""4"": 2}","[0.827, 0.129, 0.036, 0.008]","[0.767, 0.164, 0.06, 0.003, 0.005]"
107,36,Evening,"{""0"": 195, ""1"": 114, ""2"": 41, ""3"": 15}","{""0"": 141, ""1"": 105, ""2"": 73, ""3"": 34, ""4"": 10, ""5"": 2}","[0.534, 0.312, 0.112, 0.041]","[0.386, 0.288, 0.2, 0.093, 0.027, 0.005]"
108,37,Morning,"{""0"": 317, ""1"": 42, ""2"": 6}","{""0"": 354, ""1"": 11}","[0.868, 0.115, 0.016]","[0.97, 0.03]"
109,37,Day,"{""0"": 336, ""1"": 25, ""2"": 4}","{""0"": 340, ""1"": 25}","[0.921, 0.068, 0.011]","[0.932, 0.068]"
110,37,Evening,"{""0"": 307, ""1"": 51, ""2"": 6, ""3"": 1}","{""0"": 279, ""1"": 66, ""2"": 18, ""3"": 2}","[0.841, 0.14, 0.016, 0.003]","[0.764, 0.181, 0.049, 0.005]"
111,38,Morning,"{""0"": 349, ""1"": 13, ""2"": 3}","{""0"": 363, ""1"": 2}","[0.956, 0.036, 0.008]","[0.995, 0.005]"
112,38,Day,"{""0"": 352, ""1"": 12, ""2"": 1}","{""0"": 344, ""1"": 21}","[0.964, 0.033, 0.003]","[0.942, 0.058]"
113,38,Evening,"{""0"": 325, ""1"": 32, ""2"": 8}","{""0"": 314, ""1"": 43, ""2"": 6, ""3"": 2}","[0.89, 0.088, 0.022]","[0.86, 0.118, 0.016, 0.005]"
114,39,Morning,"{""0"": 328, ""1"": 36, ""2"": 1}","{""0"": 320, ""1"": 41, ""2"": 4}","[0.899, 0.099, 0.003]","[0.877, 0.112, 0.011]"
115,39,Day,"{""0"": 302, ""1"": 51, ""2"": 10, ""3"": 2}","{""0"": 323, ""1"": 33, ""2"": 8, ""3"": 1}","[0.827, 0.14, 0.027, 0.005]","[0.885, 0.09, 0.022, 0.003]"
116,39,Evening,"{""0"": 288, ""1"": 63, ""2"": 10, ""3"": 4}","{""0"": 279, ""1"": 70, ""2"": 15, ""3"": 1}","[0.789, 0.173, 0.027, 0.011]","[0.764, 0.192, 0.041, 0.003]"
117,40,Morning,"{""0"": 348, ""1"": 14, ""2"": 3}","{""0"": 342, ""1"": 20, ""2"": 3}","[0.953, 0.038, 0.008]","[0.937, 0.055, 0.008]"
118,40,Day,"{""0"": 288, ""1"": 67, ""2"": 9, ""3"": 1}","{""0"": 292, ""1"": 63, ""2"": 9, ""3"": 1}","[0.789, 0.184, 0.025, 0.003]","[0.8, 0.173, 0.025, 0.003]"
119,40,Evening,"{""0"": 238, ""1"": 83, ""2"": 33, ""3"": 9, ""4"": 2}","{""0"": 214, ""1"": 107, ""2"": 31, ""3"": 11, ""4"": 2}","[0.652, 0.227, 0.09, 0.025, 0.005]","[0.586, 0.293, 0.085, 0.03, 0.005]"
120,41,Morning,"{""0"": 128, ""1"": 70, ""2"": 66, ""3"": 64, ""4"": 25, ""5"": 7, ""6"": 3, ""9"": 2, ""7"": 0, ""8"": 0}","{""0"": 137, ""1"": 57, ""2"": 48, ""3"": 44, ""4"": 26, ""5"": 19, ""6"": 18, ""7"": 10, ""8"": 1, ""9"": 2, ""10"": 2, ""14"": 1, ""11"": 0, ""12"": 0, ""13"": 0}","[0.351, 0.192, 0.181, 0.175, 0.068, 0.019, 0.008, 0.0, 0.0, 0.005]","[0.375, 0.156, 0.132, 0.121, 0.071, 0.052, 0.049, 0.027, 0.003, 0.005, 0.005, 0.0, 0.0, 0.0, 0.003]"
121,41,Day,"{""0"": 92, ""1"": 78, ""2"": 80, ""3"": 54, ""4"": 32, ""5"": 13, ""6"": 9, ""7"": 2, ""8"": 1, ""9"": 3, ""11"": 1, ""10"": 0}","{""0"": 84, ""1"": 82, ""2"": 70, ""3"": 57, ""4"": 40, ""5"": 15, ""6"": 12, ""7"": 1, ""8"": 2, ""9"": 1, ""12"": 1, ""10"": 0, ""11"": 0}","[0.252, 0.214, 0.219, 0.148, 0.088, 0.036, 0.025, 0.005, 0.003, 0.008, 0.0, 0.003]","[0.23, 0.225, 0.192, 0.156, 0.11, 0.041, 0.033, 0.003, 0.005, 0.003, 0.0, 0.0, 0.003]"
122,41,Evening,"{""0"": 49, ""1"": 41, ""2"": 48, ""3"": 50, ""4"": 55, ""5"": 46, ""6"": 24, ""7"": 18, ""8"": 16, ""9"": 9, ""10"": 5, ""11"": 3, ""12"": 1}","{""0"": 48, ""1"": 52, ""2"": 56, ""3"": 77, ""4"": 50, ""5"": 28, ""6"": 26, ""7"": 12, ""8"": 8, ""9"": 5, ""10"": 3}","[0.134, 0.112, 0.132, 0.137, 0.151, 0.126, 0.066, 0.049, 0.044, 0.025, 0.014, 0.008, 0.003]","[0.132, 0.142, 0.153, 0.211, 0.137, 0.077, 0.071, 0.033, 0.022, 0.014, 0.008]"
123,42,Morning,"{""0"": 339, ""1"": 24, ""2"": 1, ""3"": 1}","{""0"": 349, ""1"": 15, ""2"": 1}","[0.929, 0.066, 0.003, 0.003]","[0.956, 0.041, 0.003]"
124,42,Day,"{""0"": 338, ""1"": 25, ""2"": 2}","{""0"": 339, ""1"": 22, ""2"": 4}","[0.926, 0.068, 0.005]","[0.929, 0.06, 0.011]"
125,42,Evening,"{""0"": 300, ""1"": 53, ""2"": 11, ""3"": 1}","{""0"": 286, ""1"": 66, ""2"": 11, ""3"": 2}","[0.822, 0.145, 0.03, 0.003]","[0.784, 0.181, 0.03, 0.005]"
126,43,Morning,"{""0"": 338, ""1"": 26, ""2"": 1}","{""0"": 352, ""1"": 13}","[0.926, 0.071, 0.003]","[0.964, 0.036]"
127,43,Day,"{""0"": 339, ""1"": 24, ""2"": 1, ""3"": 1}","{""0"": 331, ""1"": 31, ""2"": 2, ""3"": 1}","[0.929, 0.066, 0.003, 0.003]","[0.907, 0.085, 0.005, 0.003]"
128,43,Evening,"{""0"": 305, ""1"": 57, ""2"": 2, ""3"": 1}","{""0"": 301, ""1"": 55, ""2"": 8, ""3"": 1}","[0.836, 0.156, 0.005, 0.003]","[0.825, 0.151, 0.022, 0.003]"
129,44,Morning,"{""0"": 346, ""1"": 19}","{""0"": 335, ""1"": 29, ""2"": 1}","[0.948, 0.052]","[0.918, 0.079, 0.003]"
130,44,Day,"{""0"": 320, ""1"": 40, ""2"": 4, ""3"": 1}","{""0"": 313, ""1"": 43, ""2"": 9}","[0.877, 0.11, 0.011, 0.003]","[0.858, 0.118, 0.025]"
131,44,Evening,"{""0"": 295, ""1"": 58, ""2"": 9, ""3"": 2, ""4"": 1}","{""0"": 294, ""1"": 61, ""2"": 8, ""3"": 2}","[0.808, 0.159, 0.025, 0.005, 0.003]","[0.805, 0.167, 0.022, 0.005]"
132,45,Morning,"{""0"": 338, ""1"": 26, ""2"": 1}","{""0"": 316, ""1"": 43, ""2"": 6}","[0.926, 0.071, 0.003]","[0.866, 0.118, 0.016]"
133,45,Day,"{""0"": 313, ""1"": 43, ""2"": 7, ""3"": 2}","{""0"": 317, ""1"": 42, ""2"": 4, ""3"": 2}","[0.858, 0.118, 0.019, 0.005]","[0.868, 0.115, 0.011, 0.005]"
134,45,Evening,"{""0"": 269, ""1"": 75, ""2"": 19, ""3"": 2}","{""0"": 277, ""1"": 72, ""2"": 14, ""3"": 2}","[0.737, 0.205, 0.052, 0.005]","[0.759, 0.197, 0.038, 0.005]"
135,46,Morning,"{""0"": 348, ""1"": 17}","{""0"": 314, ""1"": 49, ""2"": 2}","[0.953, 0.047]","[0.86, 0.134, 0.005]"
136,46,Day,"{""0"": 324, ""1"": 38, ""2"": 3}","{""0"": 341, ""1"": 22, ""2"": 2}","[0.888, 0.104, 0.008]","[0.934, 0.06, 0.005]"
137,46,Evening,"{""0"": 320, ""1"": 35, ""2"": 10}","{""0"": 318, ""1"": 40, ""2"": 7}","[0.877, 0.096, 0.027]","[0.871, 0.11, 0.019]"
138,47,Morning,"{""0"": 316, ""1"": 40, ""2"": 9}","{""0"": 347, ""1"": 16, ""2"": 2}","[0.866, 0.11, 0.025]","[0.951, 0.044, 0.005]"
139,47,Day,"{""0"": 307, ""1"": 50, ""2"": 7, ""3"": 1}","{""0"": 318, ""1"": 41, ""2"": 6}","[0.841, 0.137, 0.019, 0.003]","[0.871, 0.112, 0.016]"
140,47,Evening,"{""0"": 283, ""1"": 64, ""2"": 17, ""3"": 1}","{""0"": 236, ""1"": 96, ""2"": 29, ""3"": 4}","[0.775, 0.175, 0.047, 0.003]","[0.647, 0.263, 0.079, 0.011]"
141,48,Morning,"{""0"": 284, ""1"": 67, ""2"": 14}","{""0"": 339, ""1"": 24, ""2"": 2}","[0.778, 0.184, 0.038]","[0.929, 0.066, 0.005]"
142,48,Day,"{""0"": 290, ""1"": 58, ""2"": 12, ""3"": 3, ""4"": 2}","{""0"": 285, ""1"": 64, ""2"": 13, ""3"": 2, ""4"": 1}","[0.795, 0.159, 0.033, 0.008, 0.005]","[0.781, 0.175, 0.036, 0.005, 0.003]"
143,48,Evening,"{""0"": 225, ""1"": 106, ""2"": 25, ""3"": 7, ""4"": 2}","{""0"": 189, ""1"": 113, ""2"": 48, ""3"": 13, ""4"": 1, ""5"": 1}","[0.616, 0.29, 0.068, 0.019, 0.005]","[0.518, 0.31, 0.132, 0.036, 0.003, 0.003]"
144,49,Morning,"{""0"": 282, ""1"": 64, ""2"": 17, ""3"": 1, ""4"": 1}","{""0"": 327, ""1"": 37, ""2"": 1}","[0.773, 0.175, 0.047, 0.003, 0.003]","[0.896, 0.101, 0.003]"
145,49,Day,"{""0"": 270, ""1"": 75, ""2"": 17, ""3"": 3}","{""0"": 272, ""1"": 77, ""2"": 12, ""3"": 4}","[0.74, 0.205, 0.047, 0.008]","[0.745, 0.211, 0.033, 0.011]"
146,49,Evening,"{""0"": 206, ""1"": 103, ""2"": 44, ""3"": 7, ""4"": 2, ""5"": 2, ""6"": 1}","{""0"": 181, ""1"": 95, ""2"": 59, ""3"": 23, ""4"": 6, ""6"": 1, ""5"": 0}","[0.564, 0.282, 0.121, 0.019, 0.005, 0.005, 0.003]","[0.496, 0.26, 0.162, 0.063, 0.016, 0.0, 0.003]"
147,50,Morning,"{""0"": 339, ""1"": 23, ""2"": 1, ""3"": 2}","{""0"": 349, ""1"": 15, ""5"": 1, ""2"": 0, ""3"": 0, ""4"": 0}","[0.929, 0.063, 0.003, 0.005]","[0.956, 0.041, 0.0, 0.0, 0.0, 0.003]"
148,50,Day,"{""0"": 319, ""1"": 44, ""2"": 2}","{""0"": 322, ""1"": 40, ""2"": 3}","[0.874, 0.121, 0.005]","[0.882, 0.11, 0.008]"
149,50,Evening,"{""0"": 262, ""1"": 80, ""2"": 20, ""3"": 2, ""4"": 1}","{""0"": 252, ""1"": 90, ""2"": 19, ""3"": 3, ""5"": 1, ""4"": 0}","[0.718, 0.219, 0.055, 0.005, 0.003]","[0.69, 0.247, 0.052, 0.008, 0.0, 0.003]"
150,51,Morning,"{""0"": 194, ""1"": 112, ""2"": 48, ""3"": 8, ""4"": 3}","{""0"": 268, ""1"": 79, ""2"": 16, ""3"": 2}","[0.532, 0.307, 0.132, 0.022, 0.008]","[0.734, 0.216, 0.044, 0.005]"
151,51,Day,"{""0"": 177, ""1"": 103, ""2"": 59, ""3"": 15, ""4"": 9, ""5"": 1, ""6"": 1}","{""0"": 181, ""1"": 101, ""2"": 46, ""3"": 23, ""4"": 9, ""5"": 5}","[0.485, 0.282, 0.162, 0.041, 0.025, 0.003, 0.003]","[0.496, 0.277, 0.126, 0.063, 0.025, 0.014]"
152,51,Evening,"{""0"": 84, ""1"": 101, ""2"": 75, ""3"": 51, ""4"": 27, ""5"": 19, ""6"": 3, ""7"": 4, ""8"": 1}","{""0"": 81, ""1"": 76, ""2"": 80, ""3"": 64, ""4"": 38, ""5"": 12, ""6"": 6, ""7"": 5, ""8"": 1, ""9"": 2}","[0.23, 0.277, 0.205, 0.14, 0.074, 0.052, 0.008, 0.011, 0.003]","[0.222, 0.208, 0.219, 0.175, 0.104, 0.033, 0.016, 0.014, 0.003, 0.005]"
153,52,Morning,"{""0"": 127, ""1"": 105, ""2"": 57, ""3"": 42, ""4"": 22, ""5"": 11, ""7"": 1, ""6"": 0}","{""0"": 305, ""1"": 52, ""2"": 7, ""3"": 1}","[0.348, 0.288, 0.156, 0.115, 0.06, 0.03, 0.0, 0.003]","[0.836, 0.142, 0.019, 0.003]"
154,52,Day,"{""0"": 172, ""1"": 118, ""2"": 42, ""3"": 16, ""4"": 14, ""5"": 2, ""8"": 1, ""6"": 0, ""7"": 0}","{""0"": 177, ""1"": 123, ""2"": 42, ""3"": 17, ""4"": 6}","[0.471, 0.323, 0.115, 0.044, 0.038, 0.005, 0.0, 0.0, 0.003]","[0.485, 0.337, 0.115, 0.047, 0.016]"
155,52,Evening,"{""0"": 55, ""1"": 77, ""2"": 96, ""3"": 61, ""4"": 27, ""5"": 27, ""6"": 11, ""7"": 7, ""8"": 4}","{""0"": 41, ""1"": 57, ""2"": 76, ""3"": 73, ""4"": 51, ""5"": 30, ""6"": 20, ""7"": 12, ""8"": 1, ""9"": 1, ""10"": 2, ""11"": 1}","[0.151, 0.211, 0.263, 0.167, 0.074, 0.074, 0.03, 0.019, 0.011]","[0.112, 0.156, 0.208, 0.2, 0.14, 0.082, 0.055, 0.033, 0.003, 0.003, 0.005, 0.003]"
156,53,Morning,"{""0"": 249, ""1"": 87, ""2"": 25, ""3"": 3, ""4"": 1}","{""0"": 324, ""1"": 39, ""2"": 2}","[0.682, 0.238, 0.068, 0.008, 0.003]","[0.888, 0.107, 0.005]"
157,53,Day,"{""0"": 258, ""1"": 82, ""2"": 20, ""3"": 3, ""4"": 2}","{""0"": 292, ""1"": 58, ""2"": 10, ""3"": 2, ""4"": 2, ""5"": 1}","[0.707, 0.225, 0.055, 0.008, 0.005]","[0.8, 0.159, 0.027, 0.005, 0.005, 0.003]"
158,53,Evening,"{""0"": 195, ""1"": 112, ""2"": 50, ""3"": 6, ""4"": 2}","{""0"": 187, ""1"": 108, ""2"": 53, ""3"": 14, ""4"": 3}","[0.534, 0.307, 0.137, 0.016, 0.005]","[0.512, 0.296, 0.145, 0.038, 0.008]"
159,54,Morning,"{""0"": 189, ""1"": 121, ""2"": 41, ""3"": 12, ""4"": 2}","{""0"": 282, ""1"": 80, ""2"": 3}","[0.518, 0.332, 0.112, 0.033, 0.005]","[0.773, 0.219, 0.008]"
160,54,Day,"{""0"": 278, ""1"": 70, ""2"": 17}","{""0"": 276, ""1"": 73, ""2"": 15, ""3"": 1}","[0.762, 0.192, 0.047]","[0.756, 0.2, 0.041, 0.003]"
161,54,Evening,"{""0"": 197, ""1"": 119, ""2"": 41, ""3"": 6, ""4"": 1, ""5"": 1}","{""0"": 146, ""1"": 92, ""2"": 87, ""3"": 27, ""4"": 11, ""5"": 1, ""6"": 1}","[0.54, 0.326, 0.112, 0.016, 0.003, 0.003]","[0.4, 0.252, 0.238, 0.074, 0.03, 0.003, 0.003]"
162,55,Morning,"{""0"": 273, ""1"": 78, ""2"": 12, ""3"": 2}","{""0"": 347, ""1"": 18}","[0.748, 0.214, 0.033, 0.005]","[0.951, 0.049]"
163,55,Day,"{""0"": 279, ""1"": 68, ""2"": 15, ""3"": 2, ""4"": 1}","{""0"": 250, ""1"": 103, ""2"": 10, ""3"": 2}","[0.764, 0.186, 0.041, 0.005, 0.003]","[0.685, 0.282, 0.027, 0.005]"
164,55,Evening,"{""0"": 244, ""1"": 89, ""2"": 26, ""3"": 4, ""4"": 2}","{""0"": 197, ""1"": 114, ""2"": 38, ""3"": 13, ""4"": 3}","[0.668, 0.244, 0.071, 0.011, 0.005]","[0.54, 0.312, 0.104, 0.036, 0.008]"
165,56,Morning,"{""0"": 341, ""1"": 23, ""2"": 1}","{""0"": 330, ""1"": 31, ""2"": 4}","[0.934, 0.063, 0.003]","[0.904, 0.085, 0.011]"
166,56,Day,"{""0"": 279, ""1"": 78, ""2"": 8}","{""0"": 270, ""1"": 86, ""2"": 7, ""3"": 2}","[0.764, 0.214, 0.022]","[0.74, 0.236, 0.019, 0.005]"
167,56,Evening,"{""0"": 245, ""1"": 90, ""2"": 26, ""3"": 4}","{""0"": 266, ""1"": 76, ""2"": 20, ""3"": 2, ""4"": 1}","[0.671, 0.247, 0.071, 0.011]","[0.729, 0.208, 0.055, 0.005, 0.003]"
168,57,Morning,"{""0"": 356, ""1"": 9}","{""0"": 349, ""1"": 16}","[0.975, 0.025]","[0.956, 0.044]"
169,57,Day,"{""0"": 338, ""1"": 24, ""2"": 3}","{""0"": 336, ""1"": 27, ""2"": 2}","[0.926, 0.066, 0.008]","[0.921, 0.074, 0.005]"
170,57,Evening,"{""0"": 334, ""1"": 27, ""2"": 3, ""3"": 1}","{""0"": 340, ""1"": 22, ""2"": 3}","[0.915, 0.074, 0.008, 0.003]","[0.932, 0.06, 0.008]"
171,58,Morning,"{""0"": 321, ""1"": 43, ""2"": 1}","{""0"": 306, ""1"": 52, ""2"": 6, ""3"": 1}","[0.879, 0.118, 0.003]","[0.838, 0.142, 0.016, 0.003]"
172,58,Day,"{""0"": 289, ""1"": 67, ""2"": 7, ""3"": 2}","{""0"": 300, ""1"": 51, ""2"": 14}","[0.792, 0.184, 0.019, 0.005]","[0.822, 0.14, 0.038]"
173,58,Evening,"{""0"": 254, ""1"": 94, ""2"": 15, ""3"": 2}","{""0"": 260, ""1"": 81, ""2"": 17, ""3"": 6, ""4"": 1}","[0.696, 0.258, 0.041, 0.005]","[0.712, 0.222, 0.047, 0.016, 0.003]"
174,59,Morning,"{""0"": 332, ""1"": 29, ""2"": 3, ""3"": 1}","{""0"": 349, ""1"": 15, ""4"": 1, ""2"": 0, ""3"": 0}","[0.91, 0.079, 0.008, 0.003]","[0.956, 0.041, 0.0, 0.0, 0.003]"
175,59,Day,"{""0"": 314, ""1"": 44, ""2"": 5, ""3"": 2}","{""0"": 313, ""1"": 46, ""2"": 4, ""3"": 2}","[0.86, 0.121, 0.014, 0.005]","[0.858, 0.126, 0.011, 0.005]"
176,59,Evening,"{""0"": 270, ""1"": 74, ""2"": 17, ""3"": 3, ""4"": 1}","{""0"": 264, ""1"": 68, ""2"": 26, ""3"": 6, ""4"": 1}","[0.74, 0.203, 0.047, 0.008, 0.003]","[0.723, 0.186, 0.071, 0.016, 0.003]"
177,60,Morning,"{""0"": 357, ""1"": 7, ""2"": 1}","{""0"": 357, ""1"": 8}","[0.978, 0.019, 0.003]","[0.978, 0.022]"
178,60,Day,"{""0"": 342, ""1"": 21, ""2"": 1, ""3"": 1}","{""0"": 346, ""1"": 15, ""2"": 3, ""3"": 1}","[0.937, 0.058, 0.003, 0.003]","[0.948, 0.041, 0.008, 0.003]"
179,60,Evening,"{""0"": 339, ""1"": 21, ""2"": 4, ""3"": 1}","{""0"": 334, ""1"": 24, ""2"": 5, ""3"": 2}","[0.929, 0.058, 0.011, 0.003]","[0.915, 0.066, 0.014, 0.005]"
180,61,Morning,"{""0"": 345, ""1"": 18, ""2"": 2}","{""0"": 355, ""1"": 10}","[0.945, 0.049, 0.005]","[0.973, 0.027]"
181,61,Day,"{""0"": 341, ""1"": 22, ""2"": 2}","{""0"": 339, ""1"": 25, ""2"": 1}","[0.934, 0.06, 0.005]","[0.929, 0.068, 0.003]"
182,61,Evening,"{""0"": 336, ""1"": 25, ""2"": 4}","{""0"": 322, ""1"": 39, ""2"": 4}","[0.921, 0.068, 0.011]","[0.882, 0.107, 0.011]"
183,62,Morning,"{""0"": 230, ""1"": 82, ""2"": 32, ""3"": 12, ""4"": 9}","{""0"": 318, ""1"": 41, ""2"": 5, ""3"": 1}","[0.63, 0.225, 0.088, 0.033, 0.025]","[0.871, 0.112, 0.014, 0.003]"
184,62,Day,"{""0"": 271, ""1"": 75, ""2"": 17, ""3"": 2}","{""0"": 284, ""1"": 64, ""2"": 16, ""3"": 1}","[0.742, 0.205, 0.047, 0.005]","[0.778, 0.175, 0.044, 0.003]"
185,62,Evening,"{""0"": 221, ""1"": 89, ""2"": 36, ""3"": 15, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}","{""0"": 169, ""1"": 103, ""2"": 56, ""3"": 26, ""4"": 5, ""5"": 1, ""6"": 3, ""7"": 2}","[0.605, 0.244, 0.099, 0.041, 0.003, 0.003, 0.003, 0.003]","[0.463, 0.282, 0.153, 0.071, 0.014, 0.003, 0.008, 0.005]"
186,63,Morning,"{""0"": 311, ""1"": 51, ""2"": 3}","{""0"": 353, ""1"": 11, ""3"": 1, ""2"": 0}","[0.852, 0.14, 0.008]","[0.967, 0.03, 0.0, 0.003]"
187,63,Day,"{""0"": 304, ""1"": 49, ""2"": 10, ""3"": 1, ""4"": 1}","{""0"": 308, ""1"": 47, ""2"": 9, ""3"": 1}","[0.833, 0.134, 0.027, 0.003, 0.003]","[0.844, 0.129, 0.025, 0.003]"
188,63,Evening,"{""0"": 268, ""1"": 81, ""2"": 13, ""3"": 2, ""4"": 1}","{""0"": 255, ""1"": 89, ""2"": 16, ""3"": 5}","[0.734, 0.222, 0.036, 0.005, 0.003]","[0.699, 0.244, 0.044, 0.014]"
189,64,Morning,"{""0"": 286, ""1"": 70, ""2"": 6, ""3"": 1, ""4"": 2}","{""0"": 236, ""1"": 88, ""2"": 29, ""3"": 9, ""4"": 3}","[0.784, 0.192, 0.016, 0.003, 0.005]","[0.647, 0.241, 0.079, 0.025, 0.008]"
190,64,Day,"{""0"": 280, ""1"": 65, ""2"": 18, ""3"": 2}","{""0"": 302, ""1"": 53, ""2"": 9, ""3"": 1}","[0.767, 0.178, 0.049, 0.005]","[0.827, 0.145, 0.025, 0.003]"
191,64,Evening,"{""0"": 211, ""1"": 103, ""2"": 34, ""3"": 14, ""4"": 3}","{""0"": 223, ""1"": 108, ""2"": 29, ""3"": 5}","[0.578, 0.282, 0.093, 0.038, 0.008]","[0.611, 0.296, 0.079, 0.014]"
192,65,Morning,"{""0"": 314, ""1"": 48, ""2"": 3}","{""0"": 326, ""1"": 32, ""2"": 7}","[0.86, 0.132, 0.008]","[0.893, 0.088, 0.019]"
193,65,Day,"{""0"": 310, ""1"": 53, ""2"": 2}","{""0"": 321, ""1"": 42, ""2"": 2}","[0.849, 0.145, 0.005]","[0.879, 0.115, 0.005]"
194,65,Evening,"{""0"": 278, ""1"": 71, ""2"": 13, ""3"": 2, ""5"": 1, ""4"": 0}","{""0"": 264, ""1"": 78, ""2"": 21, ""3"": 1, ""4"": 1}","[0.762, 0.195, 0.036, 0.005, 0.0, 0.003]","[0.723, 0.214, 0.058, 0.003, 0.003]"
195,66,Morning,"{""0"": 355, ""1"": 10}","{""0"": 357, ""1"": 8}","[0.973, 0.027]","[0.978, 0.022]"
196,66,Day,"{""0"": 340, ""1"": 22, ""2"": 2, ""4"": 1, ""3"": 0}","{""0"": 351, ""1"": 11, ""2"": 2, ""3"": 1}","[0.932, 0.06, 0.005, 0.0, 0.003]","[0.962, 0.03, 0.005, 0.003]"
197,66,Evening,"{""0"": 331, ""1"": 31, ""2"": 3}","{""0"": 310, ""1"": 53, ""2"": 2}","[0.907, 0.085, 0.008]","[0.849, 0.145, 0.005]"
198,67,Morning,"{""0"": 275, ""1"": 83, ""2"": 7}","{""0"": 329, ""1"": 35, ""2"": 1}","[0.753, 0.227, 0.019]","[0.901, 0.096, 0.003]"
199,67,Day,"{""0"": 259, ""1"": 87, ""2"": 13, ""3"": 5, ""6"": 1, ""4"": 0, ""5"": 0}","{""0"": 250, ""1"": 98, ""2"": 14, ""3"": 3}","[0.71, 0.238, 0.036, 0.014, 0.0, 0.0, 0.003]","[0.685, 0.268, 0.038, 0.008]"
200,67,Evening,"{""0"": 237, ""1"": 83, ""2"": 35, ""3"": 8, ""4"": 2}","{""0"": 211, ""1"": 105, ""2"": 31, ""3"": 14, ""4"": 4}","[0.649, 0.227, 0.096, 0.022, 0.005]","[0.578, 0.288, 0.085, 0.038, 0.011]"
201,68,Morning,"{""0"": 194, ""1"": 106, ""2"": 40, ""3"": 15, ""4"": 7, ""5"": 2, ""6"": 1}","{""0"": 262, ""1"": 74, ""2"": 23, ""3"": 6}","[0.532, 0.29, 0.11, 0.041, 0.019, 0.005, 0.003]","[0.718, 0.203, 0.063, 0.016]"
202,68,Day,"{""0"": 187, ""1"": 114, ""2"": 46, ""3"": 13, ""4"": 5}","{""0"": 198, ""1"": 112, ""2"": 32, ""3"": 17, ""4"": 3, ""5"": 3}","[0.512, 0.312, 0.126, 0.036, 0.014]","[0.542, 0.307, 0.088, 0.047, 0.008, 0.008]"
203,68,Evening,"{""0"": 113, ""1"": 115, ""2"": 71, ""3"": 46, ""4"": 14, ""5"": 4, ""6"": 2}","{""0"": 105, ""1"": 96, ""2"": 81, ""3"": 42, ""4"": 27, ""5"": 11, ""6"": 2, ""7"": 1}","[0.31, 0.315, 0.195, 0.126, 0.038, 0.011, 0.005]","[0.288, 0.263, 0.222, 0.115, 0.074, 0.03, 0.005, 0.003]"
204,69,Morning,"{""0"": 215, ""1"": 95, ""2"": 42, ""3"": 8, ""4"": 4, ""6"": 1, ""5"": 0}","{""0"": 274, ""1"": 73, ""2"": 15, ""3"": 1, ""4"": 2}","[0.589, 0.26, 0.115, 0.022, 0.011, 0.0, 0.003]","[0.751, 0.2, 0.041, 0.003, 0.005]"
