,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
307,103,Day,"{""0"": 215, ""1"": 108, ""2"": 23, ""3"": 13, ""4"": 5, ""6"": 1, ""5"": 0}","{""0"": 240, ""1"": 78, ""2"": 31, ""3"": 13, ""4"": 2, ""6"": 1, ""5"": 0}","[0.589, 0.296, 0.063, 0.036, 0.014, 0.0, 0.003]","[0.658, 0.214, 0.085, 0.036, 0.005, 0.0, 0.003]"
308,103,Evening,"{""0"": 165, ""1"": 86, ""2"": 70, ""3"": 28, ""4"": 10, ""5"": 4, ""6"": 1, ""9"": 1, ""7"": 0, ""8"": 0}","{""0"": 143, ""1"": 80, ""2"": 60, ""3"": 37, ""4"": 28, ""5"": 7, ""6"": 7, ""7"": 2, ""9"": 1, ""8"": 0}","[0.452, 0.236, 0.192, 0.077, 0.027, 0.011, 0.003, 0.0, 0.0, 0.003]","[0.392, 0.219, 0.164, 0.101, 0.077, 0.019, 0.019, 0.005, 0.0, 0.003]"
309,104,Morning,"{""0"": 172, ""1"": 95, ""2"": 49, ""3"": 38, ""4"": 9, ""5"": 1, ""6"": 1}","{""0"": 280, ""1"": 72, ""2"": 10, ""3"": 2, ""4"": 1}","[0.471, 0.26, 0.134, 0.104, 0.025, 0.003, 0.003]","[0.767, 0.197, 0.027, 0.005, 0.003]"
310,104,Day,"{""0"": 165, ""1"": 103, ""2"": 56, ""3"": 25, ""4"": 8, ""5"": 7, ""6"": 1}","{""0"": 183, ""1"": 92, ""2"": 54, ""3"": 26, ""4"": 9, ""5"": 1}","[0.452, 0.282, 0.153, 0.068, 0.022, 0.019, 0.003]","[0.501, 0.252, 0.148, 0.071, 0.025, 0.003]"
311,104,Evening,"{""0"": 107, ""1"": 79, ""2"": 60, ""3"": 52, ""4"": 33, ""5"": 20, ""6"": 6, ""7"": 7, ""8"": 1}","{""0"": 90, ""1"": 61, ""2"": 60, ""3"": 55, ""4"": 39, ""5"": 29, ""6"": 15, ""7"": 10, ""8"": 3, ""9"": 2, ""10"": 1}","[0.293, 0.216, 0.164, 0.142, 0.09, 0.055, 0.016, 0.019, 0.003]","[0.247, 0.167, 0.164, 0.151, 0.107, 0.079, 0.041, 0.027, 0.008, 0.005, 0.003]"
312,105,Morning,"{""0"": 216, ""1"": 103, ""2"": 34, ""3"": 10, ""4"": 1, ""5"": 1}","{""0"": 307, ""1"": 48, ""2"": 10}","[0.592, 0.282, 0.093, 0.027, 0.003, 0.003]","[0.841, 0.132, 0.027]"
313,105,Day,"{""0"": 230, ""1"": 95, ""2"": 25, ""3"": 11, ""4"": 4}","{""0"": 239, ""1"": 89, ""2"": 28, ""3"": 5, ""4"": 3, ""5"": 1}","[0.63, 0.26, 0.068, 0.03, 0.011]","[0.655, 0.244, 0.077, 0.014, 0.008, 0.003]"
314,105,Evening,"{""0"": 147, ""1"": 103, ""2"": 78, ""3"": 18, ""4"": 14, ""5"": 4, ""6"": 1}","{""0"": 112, ""1"": 111, ""2"": 72, ""3"": 43, ""4"": 21, ""5"": 4, ""6"": 2}","[0.403, 0.282, 0.214, 0.049, 0.038, 0.011, 0.003]","[0.307, 0.304, 0.197, 0.118, 0.058, 0.011, 0.005]"
315,106,Morning,"{""0"": 160, ""1"": 106, ""2"": 67, ""3"": 20, ""4"": 10, ""5"": 2}","{""0"": 239, ""1"": 94, ""2"": 26, ""3"": 4, ""4"": 2}","[0.438, 0.29, 0.184, 0.055, 0.027, 0.005]","[0.655, 0.258, 0.071, 0.011, 0.005]"
316,106,Day,"{""0"": 168, ""1"": 111, ""2"": 57, ""3"": 18, ""4"": 5, ""5"": 5, ""6"": 1}","{""0"": 173, ""1"": 113, ""2"": 45, ""3"": 23, ""4"": 9, ""5"": 1, ""6"": 1}","[0.46, 0.304, 0.156, 0.049, 0.014, 0.014, 0.003]","[0.474, 0.31, 0.123, 0.063, 0.025, 0.003, 0.003]"
317,106,Evening,"{""0"": 82, ""1"": 89, ""2"": 69, ""3"": 54, ""4"": 37, ""5"": 19, ""6"": 12, ""7"": 3}","{""0"": 63, ""1"": 65, ""2"": 62, ""3"": 76, ""4"": 36, ""5"": 32, ""6"": 10, ""7"": 13, ""8"": 4, ""9"": 4}","[0.225, 0.244, 0.189, 0.148, 0.101, 0.052, 0.033, 0.008]","[0.173, 0.178, 0.17, 0.208, 0.099, 0.088, 0.027, 0.036, 0.011, 0.011]"
318,107,Morning,"{""0"": 163, ""1"": 104, ""2"": 50, ""3"": 32, ""4"": 11, ""5"": 5}","{""0"": 221, ""1"": 100, ""2"": 31, ""3"": 11, ""4"": 2}","[0.447, 0.285, 0.137, 0.088, 0.03, 0.014]","[0.605, 0.274, 0.085, 0.03, 0.005]"
319,107,Day,"{""0"": 128, ""1"": 96, ""2"": 73, ""3"": 47, ""4"": 12, ""5"": 3, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 1}","{""0"": 172, ""1"": 98, ""2"": 57, ""3"": 26, ""4"": 9, ""5"": 1, ""6"": 2}","[0.351, 0.263, 0.2, 0.129, 0.033, 0.008, 0.005, 0.005, 0.003, 0.003]","[0.471, 0.268, 0.156, 0.071, 0.025, 0.003, 0.005]"
320,107,Evening,"{""0"": 76, ""1"": 101, ""2"": 83, ""3"": 50, ""4"": 30, ""5"": 19, ""6"": 2, ""7"": 3, ""9"": 1, ""8"": 0}","{""0"": 79, ""1"": 81, ""2"": 97, ""3"": 56, ""4"": 24, ""5"": 17, ""6"": 6, ""7"": 3, ""9"": 1, ""10"": 1, ""8"": 0}","[0.208, 0.277, 0.227, 0.137, 0.082, 0.052, 0.005, 0.008, 0.0, 0.003]","[0.216, 0.222, 0.266, 0.153, 0.066, 0.047, 0.016, 0.008, 0.0, 0.003, 0.003]"
321,108,Morning,"{""0"": 281, ""1"": 61, ""2"": 20, ""3"": 2, ""4"": 1}","{""0"": 337, ""1"": 27, ""3"": 1, ""2"": 0}","[0.77, 0.167, 0.055, 0.005, 0.003]","[0.923, 0.074, 0.0, 0.003]"
