,Zone,Period,Pickup occurences,Delivery occurences
3501,146,21,"{""0"": 198, ""1"": 101, ""2"": 49, ""3"": 14, ""4"": 3}","{""0"": 217, ""1"": 104, ""2"": 31, ""3"": 7, ""4"": 6}"
3502,146,22,"{""0"": 203, ""1"": 92, ""2"": 37, ""3"": 18, ""4"": 13, ""5"": 1, ""6"": 1}","{""0"": 195, ""1"": 105, ""2"": 38, ""3"": 15, ""4"": 7, ""5"": 5}"
3503,146,23,"{""0"": 263, ""1"": 63, ""2"": 20, ""3"": 14, ""4"": 4, ""6"": 1}","{""0"": 264, ""1"": 62, ""2"": 21, ""3"": 10, ""4"": 6, ""5"": 2}"
3504,147,0,"{""0"": 339, ""1"": 26}","{""0"": 346, ""1"": 19}"
3505,147,1,"{""0"": 340, ""1"": 23, ""2"": 1, ""3"": 1}","{""0"": 357, ""1"": 7, ""2"": 1}"
3506,147,2,"{""0"": 352, ""1"": 11, ""2"": 2}","{""0"": 362, ""1"": 2, ""2"": 1}"
3507,147,3,"{""0"": 356, ""1"": 8, ""2"": 1}","{""0"": 362, ""1"": 3}"
3508,147,4,"{""0"": 352, ""1"": 13}","{""0"": 358, ""1"": 7}"
3509,147,5,"{""0"": 354, ""1"": 11}","{""0"": 357, ""1"": 8}"
3510,147,6,"{""0"": 329, ""1"": 35, ""3"": 1}","{""0"": 348, ""1"": 17}"
3511,147,7,"{""0"": 296, ""1"": 62, ""2"": 5, ""3"": 2}","{""0"": 306, ""1"": 52, ""2"": 5, ""3"": 2}"
3512,147,8,"{""0"": 296, ""1"": 59, ""2"": 9, ""3"": 1}","{""0"": 266, ""1"": 84, ""2"": 12, ""3"": 3}"
3513,147,9,"{""0"": 304, ""1"": 55, ""2"": 4, ""3"": 2}","{""0"": 267, ""1"": 85, ""2"": 11, ""3"": 1, ""4"": 1}"
3514,147,10,"{""0"": 290, ""1"": 60, ""2"": 14, ""4"": 1}","{""0"": 278, ""1"": 78, ""2"": 7, ""3"": 2}"
3515,147,11,"{""0"": 276, ""1"": 71, ""2"": 16, ""3"": 1, ""4"": 1}","{""0"": 281, ""1"": 72, ""2"": 12}"
3516,147,12,"{""0"": 277, ""1"": 72, ""2"": 12, ""3"": 3, ""4"": 1}","{""0"": 277, ""1"": 78, ""2"": 10}"
3517,147,13,"{""0"": 268, ""1"": 78, ""2"": 16, ""3"": 3}","{""0"": 270, ""1"": 84, ""2"": 10, ""4"": 1}"
