,Zone,Period,Pickup occurences,Delivery occurences
106,36,Day,"{""0"": 302, ""1"": 47, ""2"": 13, ""3"": 3}","{""0"": 280, ""1"": 60, ""2"": 22, ""3"": 1, ""4"": 2}"
107,36,Evening,"{""0"": 195, ""1"": 114, ""2"": 41, ""3"": 15}","{""0"": 141, ""1"": 105, ""2"": 73, ""3"": 34, ""4"": 10, ""5"": 2}"
108,37,Morning,"{""0"": 317, ""1"": 42, ""2"": 6}","{""0"": 354, ""1"": 11}"
109,37,Day,"{""0"": 336, ""1"": 25, ""2"": 4}","{""0"": 340, ""1"": 25}"
110,37,Evening,"{""0"": 307, ""1"": 51, ""2"": 6, ""3"": 1}","{""0"": 279, ""1"": 66, ""2"": 18, ""3"": 2}"
111,38,Morning,"{""0"": 349, ""1"": 13, ""2"": 3}","{""0"": 363, ""1"": 2}"
112,38,Day,"{""0"": 352, ""1"": 12, ""2"": 1}","{""0"": 344, ""1"": 21}"
113,38,Evening,"{""0"": 325, ""1"": 32, ""2"": 8}","{""0"": 314, ""1"": 43, ""2"": 6, ""3"": 2}"
114,39,Morning,"{""0"": 328, ""1"": 36, ""2"": 1}","{""0"": 320, ""1"": 41, ""2"": 4}"
115,39,Day,"{""0"": 302, ""1"": 51, ""2"": 10, ""3"": 2}","{""0"": 323, ""1"": 33, ""2"": 8, ""3"": 1}"
116,39,Evening,"{""0"": 288, ""1"": 63, ""2"": 10, ""3"": 4}","{""0"": 279, ""1"": 70, ""2"": 15, ""3"": 1}"
117,40,Morning,"{""0"": 348, ""1"": 14, ""2"": 3}","{""0"": 342, ""1"": 20, ""2"": 3}"
118,40,Day,"{""0"": 288, ""1"": 67, ""2"": 9, ""3"": 1}","{""0"": 292, ""1"": 63, ""2"": 9, ""3"": 1}"
119,40,Evening,"{""0"": 238, ""1"": 83, ""2"": 33, ""3"": 9, ""4"": 2}","{""0"": 214, ""1"": 107, ""2"": 31, ""3"": 11, ""4"": 2}"
120,41,Morning,"{""0"": 128, ""1"": 70, ""2"": 66, ""3"": 64, ""4"": 25, ""5"": 7, ""6"": 3, ""9"": 2}","{""0"": 137, ""1"": 57, ""2"": 48, ""3"": 44, ""4"": 26, ""5"": 19, ""6"": 18, ""7"": 10, ""8"": 1, ""9"": 2, ""10"": 2, ""14"": 1}"
121,41,Day,"{""0"": 92, ""1"": 78, ""2"": 80, ""3"": 54, ""4"": 32, ""5"": 13, ""6"": 9, ""7"": 2, ""8"": 1, ""9"": 3, ""11"": 1}","{""0"": 84, ""1"": 82, ""2"": 70, ""3"": 57, ""4"": 40, ""5"": 15, ""6"": 12, ""7"": 1, ""8"": 2, ""9"": 1, ""12"": 1}"
122,41,Evening,"{""0"": 49, ""1"": 41, ""2"": 48, ""3"": 50, ""4"": 55, ""5"": 46, ""6"": 24, ""7"": 18, ""8"": 16, ""9"": 9, ""10"": 5, ""11"": 3, ""12"": 1}","{""0"": 48, ""1"": 52, ""2"": 56, ""3"": 77, ""4"": 50, ""5"": 28, ""6"": 26, ""7"": 12, ""8"": 8, ""9"": 5, ""10"": 3}"
123,42,Morning,"{""0"": 339, ""1"": 24, ""2"": 1, ""3"": 1}","{""0"": 349, ""1"": 15, ""2"": 1}"
124,42,Day,"{""0"": 338, ""1"": 25, ""2"": 2}","{""0"": 339, ""1"": 22, ""2"": 4}"
125,42,Evening,"{""0"": 300, ""1"": 53, ""2"": 11, ""3"": 1}","{""0"": 286, ""1"": 66, ""2"": 11, ""3"": 2}"
126,43,Morning,"{""0"": 338, ""1"": 26, ""2"": 1}","{""0"": 352, ""1"": 13}"
