,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
4847,202,23,"{""0"": 343, ""1"": 19, ""2"": 2, ""3"": 1}","{""0"": 339, ""1"": 26}","[0.94, 0.052, 0.005, 0.003]","[0.929, 0.071]"
4848,203,0,"{""0"": 363, ""1"": 1, ""2"": 1}","{""0"": 363, ""1"": 2}","[0.995, 0.003, 0.003]","[0.995, 0.005]"
4849,203,1,"{""0"": 363, ""1"": 2}","{""0"": 362, ""1"": 3}","[0.995, 0.005]","[0.992, 0.008]"
4850,203,2,"{""0"": 364, ""1"": 1}","{""0"": 363, ""1"": 2}","[0.997, 0.003]","[0.995, 0.005]"
4851,203,3,"{""0"": 365}","{""0"": 365}",[1.0],[1.0]
4852,203,4,"{""0"": 365}","{""0"": 364, ""1"": 1}",[1.0],"[0.997, 0.003]"
4853,203,5,"{""0"": 364, ""1"": 1}","{""0"": 363, ""1"": 2}","[0.997, 0.003]","[0.995, 0.005]"
4854,203,6,"{""0"": 364, ""1"": 1}","{""0"": 364, ""1"": 1}","[0.997, 0.003]","[0.997, 0.003]"
4855,203,7,"{""0"": 364, ""1"": 1}","{""0"": 361, ""1"": 4}","[0.997, 0.003]","[0.989, 0.011]"
4856,203,8,"{""0"": 362, ""1"": 3}","{""0"": 356, ""1"": 9}","[0.992, 0.008]","[0.975, 0.025]"
4857,203,9,"{""0"": 359, ""1"": 6}","{""0"": 357, ""1"": 7, ""2"": 1}","[0.984, 0.016]","[0.978, 0.019, 0.003]"
4858,203,10,"{""0"": 361, ""1"": 4}","{""0"": 357, ""1"": 8}","[0.989, 0.011]","[0.978, 0.022]"
4859,203,11,"{""0"": 363, ""1"": 1, ""2"": 1}","{""0"": 358, ""1"": 6, ""2"": 1}","[0.995, 0.003, 0.003]","[0.981, 0.016, 0.003]"
4860,203,12,"{""0"": 361, ""1"": 3, ""2"": 1}","{""0"": 357, ""1"": 8}","[0.989, 0.008, 0.003]","[0.978, 0.022]"
4861,203,13,"{""0"": 357, ""1"": 8}","{""0"": 353, ""1"": 11, ""2"": 1}","[0.978, 0.022]","[0.967, 0.03, 0.003]"
